param_name,param_value,F,pi_S_es,pi_I_es,total_es,pi_S_var,pi_I_var,total_var,A_es,A_var
gamma,2,0.700000,0.203141,0.174061,0.377202,0.535388,0.458745,0.994132,0.312640,0.823977
gamma,2,0.800000,0.258119,0.221168,0.479288,0.544087,0.466198,1.010285,0.397253,0.837365
gamma,2,0.900000,0.325199,0.278645,0.603844,0.565214,0.484301,1.049515,0.500490,0.869880
gamma,2,1.000000,0.396663,0.339878,0.736541,0.591064,0.506450,1.097514,0.610475,0.909664
gamma,3,0.700000,0.139634,0.119645,0.259280,0.410597,0.351818,0.762415,0.322352,0.947880
gamma,3,0.800000,0.168024,0.143971,0.311995,0.386147,0.330868,0.717015,0.387891,0.891436
gamma,3,0.900000,0.217287,0.186181,0.403468,0.384391,0.329363,0.713754,0.501616,0.887382
gamma,3,1.000000,0.281324,0.241051,0.522375,0.398557,0.341502,0.740059,0.649449,0.920085
gamma,5,0.700000,0.109845,0.094120,0.203965,0.336296,0.288154,0.624450,0.422635,1.293923
gamma,5,0.800000,0.114066,0.097737,0.211804,0.281568,0.241261,0.522829,0.438879,1.083354
gamma,5,0.900000,0.134595,0.115327,0.249922,0.246216,0.210969,0.457186,0.517863,0.947335
gamma,5,1.000000,0.182778,0.156612,0.339390,0.240737,0.206274,0.447011,0.703250,0.926252
gamma,7,0.700000,0.097816,0.083813,0.181629,0.309281,0.265006,0.574287,0.526895,1.665973
gamma,7,0.800000,0.098133,0.084085,0.182219,0.248166,0.212640,0.460806,0.528605,1.336772
gamma,7,0.900000,0.104403,0.089457,0.193860,0.196273,0.168176,0.364449,0.562376,1.057246
gamma,7,1.000000,0.137251,0.117603,0.254853,0.173676,0.148813,0.322489,0.739314,0.935521
epsilon,0.020000,0.700000,0.075114,0.064361,0.139474,0.410597,0.351818,0.762415,0.173403,0.947880
epsilon,0.020000,0.800000,0.103232,0.088454,0.191686,0.386147,0.330868,0.717015,0.238316,0.891436
epsilon,0.020000,0.900000,0.152292,0.130491,0.282782,0.384391,0.329363,0.713754,0.351572,0.887382
epsilon,0.020000,1.000000,0.216567,0.185565,0.402132,0.398557,0.341502,0.740059,0.499954,0.920085
epsilon,0.030000,0.700000,0.098641,0.084520,0.183160,0.410597,0.351818,0.762415,0.227716,0.947880
epsilon,0.030000,0.800000,0.126832,0.108675,0.235507,0.386147,0.330868,0.717015,0.292796,0.891436
epsilon,0.030000,0.900000,0.175922,0.150738,0.326660,0.384391,0.329363,0.713754,0.406124,0.887382
epsilon,0.030000,1.000000,0.240060,0.205695,0.445755,0.398557,0.341502,0.740059,0.554190,0.920085
epsilon,0.050000,0.700000,0.139634,0.119645,0.259280,0.410597,0.351818,0.762415,0.322352,0.947880
epsilon,0.050000,0.800000,0.168024,0.143971,0.311995,0.386147,0.330868,0.717015,0.387891,0.891436
epsilon,0.050000,0.900000,0.217287,0.186181,0.403468,0.384391,0.329363,0.713754,0.501616,0.887382
epsilon,0.050000,1.000000,0.281324,0.241051,0.522375,0.398557,0.341502,0.740059,0.649449,0.920085
epsilon,0.080000,0.700000,0.191231,0.163855,0.355086,0.410597,0.351818,0.762415,0.441464,0.947880
