item,value
budget_residual_ES,0.0
constraint_residual_ES,1.1102230246251565e-16
budget_residual_VaR,-1.1102230246251565e-16
terminal_replication_error_ES_max,0.05172860752420538
terminal_replication_error_ES_mean,0.0027445117680776326
terminal_replication_error_VaR_max,0.27938255432417725
terminal_replication_error_VaR_mean,0.003455364535016468
eps_min_baseline,0.0876288938088261
eps_M_baseline,0.15261352806023454
epsilon_baseline,0.1
Y0_ES,0.8034200452086158
k_eps,0.7275526374048911
c,1.374470998506585
Y0_VaR,0.9162058826666714
k_alpha,0.7149262079955382
VaR_quantile_hedge_cost,0.7663776470862717
VaR_alpha_min,0.015974856104268853
alpha_equal_CE,0.08561809327661273
alpha_threshold_matched,0.10666267405019667
MC_N,10000
MC_steps,120
MC_seed,20260803
MC_scheme,exact GBM (log-Euler is exact for the reference process)
MC_bootstrap_reps,500
Q_shortfall_ES_realized,0.1023948045878361
Q_shortfall_ES_se,0.0035446038350107705
Q_shortfall_ES_geq_eps_min,True
Q_shortfall_VaR_realized,0.12696802344057762
Q_shortfall_Merton_realized,0.15402961763738157
r_tilde,-0.008399999999999998
sigma_Y,0.07840161802211558
m_P,0.006967034271214296
Merton_total_weight,0.8043367642279668
