param,value,eps,eps_min,eps_M,r_tilde,sigma_Y,feasible,binding,Y0,k_eps,c,var_feasible,var_Y0,k_alpha,var_cost_min,A0,A0_var
GAMMA,2.0,0.1,0.0876288938088261,0.20165381280599515,-0.008399999999999998,0.11760242703317338,True,True,0.6554837113282471,0.5199932368748555,1.9231019349597147,True,0.8984895367637583,0.6311678628968189,0.7663776470862718,0.4315736706193788,0.8693060734145749
GAMMA,3.0,0.1,0.0876288938088261,0.15261352806023454,-0.008399999999999998,0.07840161802211558,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,True,0.9162058826666714,0.7149262079955382,0.7663776470862717,0.5804028160441681,0.8908526045391871
GAMMA,5.0,0.1,0.0876288938088261,0.11529107092098667,-0.008399999999999998,0.04704097081326935,True,True,0.9366135879225645,0.91540705519328,1.0924101953626073,True,0.9133712951075732,0.7666892643501078,0.7663776470862715,0.8112222145835215,0.9378026232650748
GAMMA,8.0,0.1,0.0876288938088261,0.0972982572735942,-0.008399999999999998,0.029400606758293344,True,False,1.0,1.0,1.0,True,0.8830831630034147,0.7690065691485672,0.766377647086272,1.0,1.1785853814423828
MU_I,0.01,0.1,0.0,0.09348712103687484,0.0020000000000000018,0.08276760728836433,True,False,1.0,1.0,1.0,True,0.9823473983786543,0.8504631773610635,0.6765095354337769,1.0,0.9633280723598083
MU_I,0.015,0.1,0.020201340026755776,0.10601361860114422,-0.001999999999999995,0.0751793173989362,True,True,0.9880635909759724,0.9757260582738451,1.0248778245905392,True,0.9632561472111105,0.8018682056610523,0.7295431608981275,0.958796647803233,0.9255749245822272
MU_I,0.023,0.1,0.0876288938088261,0.15261352806023454,-0.008399999999999998,0.07840161802211558,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,True,0.9162058826666714,0.7149262079955382,0.7663776470862717,0.5804028160441681,0.8908526045391871
MU_I,0.03,0.1,0.15027379885722736,0.21701067260455742,-0.013999999999999999,0.09495048220452712,False,True,nan,nan,nan,True,0.8913977550227129,0.6607543860971573,0.7457384410403861,nan,0.9191794862965722
T,5.0,0.1,0.04289447875076324,0.09482716858814311,-0.008399999999999998,0.07840161802211558,True,False,1.0,1.0,1.0,True,0.9331236112618477,0.7717821488622898,0.8083065525672796,1.0,0.844015767377622
T,10.0,0.1,0.0876288938088261,0.15261352806023454,-0.008399999999999998,0.07840161802211558,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,True,0.9162058826666714,0.7149262079955382,0.7663776470862717,0.5804028160441681,0.8908526045391871
T,15.0,0.1,0.13428216828302486,0.2067464152330939,-0.008399999999999998,0.07840161802211558,False,True,nan,nan,nan,True,0.9089152522328166,0.6837665758736955,0.7310844405756928,nan,0.9233740634770684
T,20.0,0.1,0.18293661064781075,0.2602484241499312,-0.008399999999999998,0.07840161802211558,False,True,nan,nan,nan,True,0.9065483602728114,0.6649048840960586,0.6989157790520835,nan,0.9474758103368908
RHO,-0.5,0.1,0.0876288938088261,0.1730748953286606,-0.008399999999999998,0.09486306721294317,True,True,0.738330649359253,0.6351722104797519,1.5743761825547908,True,0.9411548775101597,0.7377747859337948,0.7054594963929354,0.5064173922817421,0.9339308885116777
RHO,-0.15,0.1,0.0876288938088261,0.15261352806023454,-0.008399999999999998,0.07840161802211558,True,True,0.8034200452086158,0.7275526374048911,1.374470998506585,True,0.9162058826666714,0.7149262079955382,0.7663776470862717,0.5804028160441681,0.8908526045391871
RHO,0.0,0.1,0.0876288938088261,0.14896849602832485,-0.008399999999999998,0.07543904879162033,True,True,0.8155524153521551,0.744840036007388,1.3425701515191928,True,0.9108159316794998,0.7111555184386665,0.7768500862291237,0.5962138967143329,0.8818695703833057
RHO,0.5,0.1,0.0876288938088261,0.15285162597451807,-0.008399999999999998,0.07859473285476083,True,True,0.8026333713473224,0.726431896380167,1.376591535948561,True,0.9165445297762224,0.7151728195744592,0.7656894013793125,0.5794026892364601,0.8914282952700681
